"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-58","30","30","2","0","0","1","1","1"
"-57","15","15","1","0","0","1","1","1"
"-56","22","22","1","0","0","1","1","1"
"-53","96","96","4","0","0","1","1","1"
"-51","96","96","4","0","0","1","1","1"
"-50","70","70","3","0","0","1","1","1"
"-48","70","70","3","0","0","2","1","2"
"-45","66","66","4","0","0","1","1","1"
"-40","24","24","1","0","0","1","1","1"
"-39","24","24","1","0","0","1","1","1"
"-38","96","96","4","0","0","1","1","1"
"-37","44","44","2","0","0","1","1","1"
"-35","120","120","5","0","0","1","1","1"
"-34","24","24","1","0","0","1","1","1"
"-31","33","33","1","0","0","2","1","2"
"-30","92","92","4","0","0","2","1","2"
"-28","72","72","3","0","0","2","1","2"
"-26","188","188","8","0","0","2","1","2"
"-19","24","24","1","0","0","1","1","1"
"-18","48","48","5","0","0","2","1","2"
"-17","70","70","3","0","0","1","1","1"
"-15","24","24","1","0","0","1","1","1"
"-14","120","120","5","0","0","3","1","3"
"-13","22","22","5","0","0","2","1","2"
"-11","90","90","4","0","0","1","1","1"
"-10","0","0","3","0","0","1","1","1"
"-9","22","22","1","0","0","1","1","1"
"-8","238","238","6","0","0","5","1","4"
"-7","140","140","22","0","0","11","1","5"
"-6","328","328","26","0","0","15","1","7"
"-5","118","118","8","0","0","5","1","2"
"-4","370","370","19","0","0","9","1","7"
"-3","260","260","16","0","0","9","1","5"
"-2","450","450","38","0","0","21","1","10"
"-1","730","730","83","0","0","54","1","12"
"0","1050","1050","313","0","0","196","1","16"
"1","0","0","1","0","0","1","1","1"
"5","-116","-116","-5","0","0","2","1","2"
"12","-22","-22","-1","0","0","1","1","1"
"Total","5148","5148","606","0","0","365","undefined","undefined"